Unnamed: 0,parameter,Date,units_of_measure,first_max_value,aqi,state,COUNTY,attr_IncidentName,poly_Acres_AutoCalc,attr_FireCauseGeneral,attr_FireDiscoveryDateTime,attr_FireOutDateTime,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseDateTime,attr_POOState,attr_PredominantFuelGroup,Time,FireDuration
51289,Acceptable PM2.5 AQI & Speciation Mass,10/08/2021,Micrograms/cubic meter (LC),2.6,11,California,Riverside,AVE 52   COAC,0.0258550768324472,,2021-10-08 13:36:56+00:00,,33.671202,-116.129571,,US-CA,,13:36:56+00,
51277,Acceptable PM2.5 AQI & Speciation Mass,10/02/2021,Micrograms/cubic meter (LC),3.8,16,California,Riverside,CHIRIACO,0.0720548819571806,,2021-10-02 21:26:00+00:00,2021-10-03 18:25:00+00:00,33.66006,-115.7277,2021/10/02 21:38:00+00,US-CA,Grass-Shrub,21:26:00+00,0 days 20:59:00
72202,Acceptable PM2.5 AQI & Speciation Mass,09/05/2021,Micrograms/cubic meter (LC),14.7,56,California,Riverside,WARM SPRINGS,0.0117101513520729,,2021-09-05 23:13:42+00:00,2021-09-05 23:25:00+00:00,33.60926,-114.7461,2021/09/05 23:15:00+00,US-CA,Grass-Shrub,23:13:42+00,0 days 00:11:18
49706,Acceptable PM2.5 AQI & Speciation Mass,01/09/2021,Micrograms/cubic meter (LC),11.8,49,California,Los Angeles,COASTLINE,0.101485171576779,Undetermined,2021-01-09 10:55:50+00:00,,34.04047,-118.57584,,US-CA,Grass-Shrub,10:55:50+00,
53954,Acceptable PM2.5 AQI & Speciation Mass,01/09/2021,Micrograms/cubic meter (LC),4.0,17,California,Los Angeles,COASTLINE,0.101485171576779,Undetermined,2021-01-09 10:55:50+00:00,,34.04047,-118.57584,,US-CA,Grass-Shrub,10:55:50+00,
49718,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),5.5,23,California,Los Angeles,CORRAL,0.904092745054236,Undetermined,2021-01-15 05:50:30+00:00,2021-01-15 07:30:00+00:00,34.03296,-118.74289,,US-CA,Grass,05:50:30+00,0 days 01:39:30
49718,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),5.5,23,California,Los Angeles,LAC-017745,0.370710262557673,Undetermined,2021-01-15 11:34:19+00:00,,34.03932,-118.58952,,US-CA,Brush,11:34:19+00,
49718,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),5.5,23,California,Los Angeles,LAC-017549,0.111876720379311,Undetermined,2021-01-15 05:39:05+00:00,,34.01924,-118.81069,2021/01/15 05:42:59+00,US-CA,Grass,05:39:05+00,
53068,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),1.3,5,California,Los Angeles,CORRAL,0.904092745054236,Undetermined,2021-01-15 05:50:30+00:00,2021-01-15 07:30:00+00:00,34.03296,-118.74289,,US-CA,Grass,05:50:30+00,0 days 01:39:30
53068,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),1.3,5,California,Los Angeles,LAC-017745,0.370710262557673,Undetermined,2021-01-15 11:34:19+00:00,,34.03932,-118.58952,,US-CA,Brush,11:34:19+00,
53068,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),1.3,5,California,Los Angeles,LAC-017549,0.111876720379311,Undetermined,2021-01-15 05:39:05+00:00,,34.01924,-118.81069,2021/01/15 05:42:59+00,US-CA,Grass,05:39:05+00,
72238,Acceptable PM2.5 AQI & Speciation Mass,09/23/2021,Micrograms/cubic meter (LC),6.7,28,California,Riverside,SPLIT,0.0019569553067735,,2021-09-23 20:03:00+00:00,2021-09-23 23:42:00+00:00,34.0097,-116.0552,2021/09/23 20:05:00+00,US-CA,Grass-Shrub,20:03:00+00,0 days 03:39:00
53966,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),2.0,8,California,Los Angeles,CORRAL,0.904092745054236,Undetermined,2021-01-15 05:50:30+00:00,2021-01-15 07:30:00+00:00,34.03296,-118.74289,,US-CA,Grass,05:50:30+00,0 days 01:39:30
53966,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),2.0,8,California,Los Angeles,LAC-017549,0.111876720379311,Undetermined,2021-01-15 05:39:05+00:00,,34.01924,-118.81069,2021/01/15 05:42:59+00,US-CA,Grass,05:39:05+00,
52840,Acceptable PM2.5 AQI & Speciation Mass,09/23/2021,Micrograms/cubic meter (LC),8.4,35,California,Riverside,SPLIT,0.0019569553067735,,2021-09-23 20:03:00+00:00,2021-09-23 23:42:00+00:00,34.0097,-116.0552,2021/09/23 20:05:00+00,US-CA,Grass-Shrub,20:03:00+00,0 days 03:39:00
51259,Acceptable PM2.5 AQI & Speciation Mass,09/23/2021,Micrograms/cubic meter (LC),5.4,23,California,Riverside,SPLIT,0.0019569553067735,,2021-09-23 20:03:00+00:00,2021-09-23 23:42:00+00:00,34.0097,-116.0552,2021/09/23 20:05:00+00,US-CA,Grass-Shrub,20:03:00+00,0 days 03:39:00
